Time,Pressure
1.005,1.62192e-05
1.006,1.6136e-05
1.007,1.60018e-05
1.008,1.58131e-05
1.009,1.55666e-05
1.01,1.52583e-05
1.011,1.48845e-05
1.012,1.44414e-05
1.013,1.39249e-05
1.014,1.33308e-05
1.015,1.26551e-05
1.016,1.18933e-05
1.017,1.10411e-05
1.018,1.0094e-05
1.019,9.04744e-06
1.02,7.89674e-06
1.021,6.6372e-06
1.022,5.26406e-06
1.023,3.77246e-06
1.024,2.15753e-06
1.025,4.14337e-07
1.026,-1.46208e-06
1.027,-3.47671e-06
1.028,-5.63455e-06
1.029,-7.9406e-06
1.03,-1.03999e-05
1.031,-1.30173e-05
1.032,-1.57978e-05
1.033,-1.87464e-05
1.034,-2.18677e-05
1.035,-2.51667e-05
1.036,-2.86479e-05
1.037,-3.23159e-05
1.038,-3.61752e-05
1.039,-4.02299e-05
1.04,-4.44843e-05
1.041,-4.89423e-05
1.042,-5.36075e-05
1.043,-5.84836e-05
1.044,-6.35738e-05
1.045,-6.8881e-05
1.046,-7.4408e-05
1.047,-8.01571e-05
1.048,-8.61304e-05
1.049,-9.23296e-05
1.05,-9.87559e-05
1.051,-0.00010541
1.052,-0.000112293
1.053,-0.000119404
1.054,-0.000126742
1.055,-0.000134307
1.056,-0.000142097
1.057,-0.00015011
1.058,-0.000158342
1.059,-0.000166789
1.06,-0.000175449
1.061,-0.000184314
1.062,-0.000193381
1.063,-0.000202641
1.064,-0.000212087
1.065,-0.000221712
1.066,-0.000231504
1.067,-0.000241456
1.068,-0.000251554
1.069,-0.000261787
1.07,-0.000272141
1.071,-0.000282602
1.072,-0.000293154
1.073,-0.00030378
1.074,-0.000314462
1.075,-0.000325181
1.076,-0.000335917
1.077,-0.000346646
1.078,-0.000357347
1.079,-0.000367994
1.08,-0.00037856
1.081,-0.00038902
1.082,-0.000399342
1.083,-0.000409497
1.084,-0.000419452
1.085,-0.000429174
1.086,-0.000438626
1.087,-0.000447772
1.088,-0.000456573
1.089,-0.000464989
1.09,-0.000472976
1.091,-0.000480492
1.092,-0.000487489
1.093,-0.000493922
1.094,-0.000499739
1.095,-0.000504891
1.096,-0.000509323
1.097,-0.000512981
1.098,-0.000515809
1.099,-0.000517747
1.1,-0.000518736
1.101,-0.000518712
1.102,-0.000517613
1.103,-0.000515371
1.104,-0.00051192
1.105,-0.000507189
1.106,-0.000501108
1.107,-0.000493603
1.108,-0.000484599
1.109,-0.000474021
1.11,-0.000461789
1.111,-0.000447825
1.112,-0.000432046
1.113,-0.00041437
1.114,-0.000394713
1.115,-0.000372989
1.116,-0.000349111
1.117,-0.00032299
1.118,-0.000294538
1.119,-0.000263662
1.12,-0.000230272
1.121,-0.000194275
1.122,-0.000155576
1.123,-0.000114083
1.124,-6.9699e-05
1.125,-2.23293e-05
1.126,2.81225e-05
1.127,8.17528e-05
1.128,0.000138658
1.129,0.000198935
1.13,0.000262681
1.131,0.000329992
1.132,0.000400963
1.133,0.000475692
1.134,0.000554273
1.135,0.0006368
1.136,0.000723366
1.137,0.000814065
1.138,0.000908986
1.139,0.00100822
1.14,0.00111185
1.141,0.00121997
1.142,0.00133266
1.143,0.00145001
1.144,0.00157208
1.145,0.00169896
1.146,0.00183072
1.147,0.00196744
1.148,0.00210918
1.149,0.002256
1.15,0.00240797
1.151,0.00256514
1.152,0.00272756
1.153,0.00289529
1.154,0.00306836
1.155,0.00324683
1.156,0.00343071
1.157,0.00362004
1.158,0.00381484
1.159,0.00401513
1.16,0.00422093
1.161,0.00443223
1.162,0.00464904
1.163,0.00487135
1.164,0.00509915
1.165,0.00533241
1.166,0.00557112
1.167,0.00581522
1.168,0.00606469
